target,rows,max_abs_diff,mean_abs_diff,allclose_1e_4
top5,35,0.0002899169921875,9.103970868247134e-05,False
top10,35,0.00038820505142211914,8.75337847641552e-05,False
top20,35,0.0004533529281616211,0.00011049839002745651,False
