explanation,feature,mean_abs_shap,mean_signed_shap,importance_rank
top10,lag_rider_rank_season,0.10295706298088236,0.0023510746631239103,1
top10,lag_rider_points_season,0.09787571476658385,0.0013380180763042705,2
top10,rider_bmi,0.03432362075819045,-0.003188644575373247,3
top10,age_at_race,0.03085947833917274,0.0011746281145938804,4
top10,lag_team_power_index,0.02281346550401377,-0.0023945294153325403,5
top10,team_tier,0.0068902638851075755,0.0007045167600926089,6
top10,weather_precipitation_mean,0.0,0.0,7
top10,lag_race_competitiveness_median,0.0,0.0,8
top10,gradient_final_km,0.0,0.0,9
top10,weather_humidity_mean,0.0,0.0,10
top10,distance,0.0,0.0,11
top10,weather_rain_prob_mean,0.0,0.0,12
top10,vertical_meters,0.0,0.0,13
top10,weather_temp_mean,0.0,0.0,14
top10,wind_stability_index,0.0,0.0,15
top10,stage_nr,0.0,0.0,16
top10,weather_temp_trend,0.0,0.0,17
