explanation,feature,mean_abs_shap,mean_signed_shap,importance_rank
score_topk_raw_sum,lag_rider_points_season,0.27748524389152107,0.048651448776945515,1
score_topk_raw_sum,lag_rider_rank_season,0.2053230543097015,0.017011674843573316,2
score_topk_raw_sum,rider_bmi,0.13010136669220324,-0.017378112174822807,3
score_topk_raw_sum,age_at_race,0.08773274674545976,-0.0270668869279325,4
score_topk_raw_sum,vertical_meters,0.08420795333785161,-0.024532708052041323,5
score_topk_raw_sum,distance,0.01141880195549069,-0.000307403244466214,15
score_topk_raw_sum,weather_humidity_mean,0.0069416034986109765,0.0023234795992418014,16
score_topk_raw_sum,wind_stability_index,0.0062523718694380195,7.338698914584087e-05,17
top5,lag_rider_points_season,0.11054250798071732,0.014351485534183044,1
top5,lag_rider_rank_season,0.05766518299429056,0.008103407606637721,2
top5,age_at_race,0.03567900388812026,-0.012944598159131902,3
top5,rider_bmi,0.034368569110035115,-0.003920395560271572,4
top5,vertical_meters,0.03416081332989658,-0.004712891146967496,5
top5,distance,0.0030102029726064455,-0.00063773945827658,15
top5,weather_humidity_mean,0.0029551698539095612,-0.0004350850412932512,16
top5,wind_stability_index,0.0027572329796384993,-0.0009195965710872177,17
top10,lag_rider_points_season,0.08446417056101684,0.019012993550859406,1
top10,lag_rider_rank_season,0.0820995445984105,0.010545228105814496,2
top10,rider_bmi,0.05714449313158791,-0.010186495607097945,3
top10,vertical_meters,0.0302299523508797,-0.009500383050180979,4
top10,age_at_race,0.028289887292776254,-0.010587048848004394,5
top10,distance,0.006033669299601266,8.11611604876826e-05,14
top10,weather_humidity_mean,0.00398883411466765,0.0015028984196639342,16
top10,wind_stability_index,0.0023341702937614197,-0.0005197067826520671,17
top20,lag_rider_points_season,0.09612268630376399,0.015286969691903025,1
top20,lag_rider_rank_season,0.08260051574790853,-0.0016369608688789107,2
top20,rider_bmi,0.05429508378690418,-0.0032712210074532814,3
top20,age_at_race,0.03127954531693831,-0.0035352399207962027,4
top20,vertical_meters,0.0255968817245836,-0.010319433854892845,6
top20,distance,0.00431596820591949,0.00024917505332268315,15
top20,weather_humidity_mean,0.0032602422016983243,0.0012556662208711184,16
top20,wind_stability_index,0.0028910507607118555,0.0015126903428851258,17
