split,target,rows,positives,negatives,positive_rate,positive_rate_percent,stages,years
train,top5,169349,5011,164338,0.02958978204772393,2.958978204772393,997,<=2022
validation,top5,8897,284,8613,0.03192087220411375,3.192087220411375,57,2023
test,top5,17802,556,17246,0.03123244579260757,3.1232445792607573,112,"2024, 2025"
train,top10,169349,10006,159343,0.05908508464768023,5.9085084647680235,997,<=2022
validation,top10,8897,570,8327,0.06406653928290434,6.406653928290435,57,2023
test,top10,17802,1104,16698,0.06201550387596899,6.2015503875969,112,"2024, 2025"
train,top20,169349,19965,149384,0.11789263591754306,11.789263591754306,997,<=2022
validation,top20,8897,1138,7759,0.12790828369113183,12.790828369113184,57,2023
test,top20,17802,2205,15597,0.12386248736097068,12.386248736097068,112,"2024, 2025"
