run_label,target,params_json,params_short,roc_auc,average_precision,prediction_path,status,error_message,n_estimators,softmax_temperature,average_before_softmax,balance_probabilities,fit_seconds,predict_seconds,total_seconds,cache_load_seconds,runtime_status,runtime_time_source,api_run_timestamp,runtime_complete_for_comparison,n_estimators_sort,n_params_sort
grid_027,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-0.8,0.7822608340233315,0.27754872668612746,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_027.csv,cache_hit,,8,0.8,False,True,0.428,45.756,46.227,0.012,cache_hit,current_api_run,2026-06-30T20:18:11.663609+00:00,True,8,4
grid_028,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-0.8,0.7822607286801126,0.27754872668612746,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_028.csv,cache_hit,,8,0.8,False,False,0.63,45.789,46.456,0.009,cache_hit,current_api_run,2026-06-30T20:18:57.896353+00:00,True,8,4
grid_031,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-1.0,0.7822189074222724,0.2777894917297775,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_031.csv,cache_hit,,8,1.0,False,True,0.424,44.996,45.457,0.011,cache_hit,current_api_run,2026-06-30T20:21:15.250356+00:00,True,8,4
grid_032,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-1.0,0.7822189074222724,0.2777894917297775,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_032.csv,cache_hit,,8,1.0,False,False,0.429,46.178,46.644,0.01,cache_hit,current_api_run,2026-06-30T20:22:00.711367+00:00,True,8,4
grid_036,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-1.2,0.7821900433803375,0.27795309504345656,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_036.csv,cache_hit,,8,1.2,False,False,0.427,46.375,46.84,0.011,cache_hit,current_api_run,2026-06-30T20:25:04.971985+00:00,True,8,4
grid_035,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-1.2,0.7821900433803375,0.2779530950434565,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_035.csv,cache_hit,,8,1.2,False,True,0.641,45.922,46.597,0.01,cache_hit,current_api_run,2026-06-30T20:24:18.371106+00:00,True,8,4
grid_039,top10,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-1.4,0.7821654984103709,0.2781719980041092,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_039.csv,cache_hit,,8,1.4,False,True,0.429,45.519,45.981,0.01,cache_hit,current_api_run,2026-06-30T20:27:24.435157+00:00,True,8,4
grid_040,top10,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-1.4,0.7821654984103708,0.2781719980041092,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_040.csv,cache_hit,,8,1.4,False,False,0.423,46.967,47.426,0.011,cache_hit,current_api_run,2026-06-30T20:28:10.421065+00:00,True,8,4
grid_030,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-1.0,0.7819411173544526,0.27816108766891245,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_030.csv,cache_hit,,8,1.0,True,False,0.429,44.776,45.239,0.01,cache_hit,current_api_run,2026-06-30T20:20:30.006886+00:00,True,8,4
grid_025,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-0.8,0.7819411173544526,0.27816108766891245,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_025.csv,cache_hit,,8,0.8,True,True,0.428,45.11,45.576,0.011,cache_hit,current_api_run,2026-06-30T20:16:40.090894+00:00,True,8,4
grid_029,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-1.0,0.7819411173544526,0.27816108766891245,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_029.csv,cache_hit,,8,1.0,True,True,0.426,45.183,45.647,0.011,cache_hit,current_api_run,2026-06-30T20:19:44.356055+00:00,True,8,4
grid_026,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-0.8,0.7819411173544526,0.27816108766891245,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_026.csv,cache_hit,,8,0.8,True,False,0.445,45.504,45.987,0.011,cache_hit,current_api_run,2026-06-30T20:17:25.672794+00:00,True,8,4
grid_037,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-1.4,0.7819411173544525,0.27816108766891245,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_037.csv,cache_hit,,8,1.4,True,True,0.423,46.345,46.799,0.01,cache_hit,current_api_run,2026-06-30T20:25:51.817275+00:00,True,8,4
grid_038,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-1.4,0.7819410120112338,0.27816108766891245,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_038.csv,cache_hit,,8,1.4,True,False,0.426,45.345,45.809,0.01,cache_hit,current_api_run,2026-06-30T20:26:38.621309+00:00,True,8,4
grid_033,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-1.2,0.7819410120112338,0.27816100252670534,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_033.csv,cache_hit,,8,1.2,True,True,0.426,44.976,45.441,0.01,cache_hit,current_api_run,2026-06-30T20:22:47.356146+00:00,True,8,4
grid_034,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-1.2,0.7819410120112338,0.27816100252670534,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_034.csv,cache_hit,,8,1.2,True,False,0.426,45.109,45.569,0.01,cache_hit,current_api_run,2026-06-30T20:23:32.796620+00:00,True,8,4
grid_022,top10,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.6}",average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-0.6,0.7819409066680151,0.27816100252670534,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_022.csv,cache_hit,,8,0.6,True,False,0.428,44.939,45.402,0.011,cache_hit,current_api_run,2026-06-30T20:14:22.273828+00:00,True,8,4
grid_021,top10,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.6}",average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-0.6,0.7819409066680151,0.27816100252670534,/Users/roberthendrich/GADA-Group3-Cycling-Stage-Prediction/data/processed/tabpfn/02_tuning_top10/predictions/grid_021.csv,cache_hit,,8,0.6,True,True,0.429,45.908,46.374,0.01,cache_hit,current_api_run,2026-06-30T20:13:35.893034+00:00,True,8,4
