variant_name,score_name,test_scope,n_stages,ndcg_at_5,ndcg_at_10,ndcg_at_20,top_1_accuracy,top_5_accuracy,top_10_accuracy,top_20_accuracy,map,map_at_10,spearman_rho,roc_auc_top10_ensemble,targets_completed,targets_with_api_runtime,targets_expected,thinking_targets_verified,runtime_status,total_fit_seconds,total_predict_seconds,total_runtime_seconds,mean_runtime_seconds_per_target,runtime_complete_for_comparison,comparison_included,comparison_exclusion_reason
standard,score_topk_raw_sum,overall,112,0.40841583982574486,0.4018474576681756,0.43303944110860776,0.2072072072072072,0.4144144144144144,0.5765765765765766,0.6666666666666666,0.4007593519139765,0.18591907596371882,0.30454712864503886,0.780478135887141,3,3,3,3,cache_hit,17.043,94.931,112.38900000000001,37.463,True,True,included
thinking_medium_roc_auc,score_topk_raw_sum,overall,112,0.41852822262206685,0.3938254663292598,0.42847516305829736,0.24324324324324326,0.45045045045045046,0.5225225225225225,0.6306306306306306,0.3969871320142883,0.1785253684807256,0.30356482069315777,0.7802647327372365,3,3,3,3,cache_hit,270.028,89.884,360.33299999999997,120.11099999999999,True,True,included
