variant_name,score_name,test_scope,n_stages,ndcg_at_5,ndcg_at_10,ndcg_at_20,top_1_accuracy,top_5_accuracy,top_10_accuracy,top_20_accuracy,map,map_at_10,spearman_rho
standard,score_topk_raw_sum,2024,57,0.43214309679245744,0.4234329292009319,0.444859998650749,0.22807017543859648,0.42105263157894735,0.5614035087719298,0.6491228070175439,0.4241766857050809,0.20509746588693956,0.3120895498850179
standard,score_topk_raw_sum,2025,55,0.3838257735147884,0.3794770598978645,0.42078904511038856,0.18518518518518517,0.4074074074074074,0.5925925925925926,0.6851851851851852,0.3764904787122864,0.16604329004329005,0.2967304375417878
thinking_medium_roc_auc,score_topk_raw_sum,2024,57,0.43289167120818783,0.4006895309885306,0.4333988064482673,0.2631578947368421,0.43859649122807015,0.47368421052631576,0.6140350877192983,0.4120555959454611,0.187275828460039,0.3026525115373257
thinking_medium_roc_auc,score_topk_raw_sum,2025,55,0.40364246681463245,0.3867117993187428,0.42337247809051026,0.2222222222222222,0.46296296296296297,0.5740740740740741,0.6481481481481481,0.38137072394016386,0.16945670995670994,0.3045103047273838
