variant_name,targets_completed,targets_with_api_runtime,targets_expected,thinking_targets_verified,runtime_status,total_fit_seconds,total_predict_seconds,total_runtime_seconds,mean_runtime_seconds_per_target,runtime_complete_for_comparison
standard,3,3,3,3,api_run,17.043,94.931,112.38900000000001,37.463,True
thinking_medium_roc_auc,3,3,3,3,cache_hit,270.028,89.884,360.33299999999997,120.11099999999999,True
